# mode: filtered dlogp10
arm,n_used,GV_4x4,sigma_0,sigma_1,sigma_2,sigma_3,calib_0,calib_1,calib_2,calib_3,calibratio_0,calibratio_1,calibratio_2,calibratio_3
seed_s0[standard_t_gmm],908,1.059655e-07,2.065819e-02,6.087946e-02,4.003570e-02,6.965319e-02,0.0501,0.0483,0.0696,0.0382,1.570,1.513,2.178,1.196
seed_s1[standard_t_gmm],908,2.045251e-07,2.390214e-02,6.405068e-02,4.591133e-02,8.035859e-02,0.0458,0.1798,0.0482,0.1468,1.435,5.630,1.508,4.596
seed_s2[standard_t_gmm],908,9.163269e-08,1.982975e-02,6.165861e-02,4.170040e-02,7.210958e-02,0.0362,0.0374,0.0991,0.0357,1.135,1.171,3.103,1.116
seed_s3[standard_t_gmm],908,1.105509e-07,2.090292e-02,6.292626e-02,4.124032e-02,7.214186e-02,0.0416,0.0575,0.0803,0.0393,1.303,1.800,2.515,1.230
seed_s4[standard_t_gmm],908,1.043344e-07,2.099015e-02,6.116363e-02,4.075177e-02,7.237986e-02,0.0343,0.0510,0.0691,0.0399,1.075,1.597,2.165,1.251
seed_s0[raw_t_gmm],908,1.163406e-07,2.004049e-02,6.137336e-02,4.143043e-02,6.912335e-02,0.0279,0.0296,0.1407,0.0179,0.873,0.927,4.407,0.560
seed_s1[raw_t_gmm],908,1.053659e-07,2.227590e-02,6.574975e-02,4.431195e-02,7.792900e-02,0.0454,0.0598,0.0910,0.0573,1.422,1.873,2.850,1.795
seed_s2[raw_t_gmm],908,8.750382e-08,2.005194e-02,5.983180e-02,4.038406e-02,7.236389e-02,0.0570,0.0394,0.1231,0.0503,1.784,1.233,3.855,1.574
seed_s3[raw_t_gmm],908,1.538154e-07,2.299262e-02,6.567888e-02,4.328607e-02,7.850215e-02,0.0376,0.0500,0.1232,0.0514,1.178,1.565,3.858,1.609
seed_s4[raw_t_gmm],908,1.045868e-07,2.005820e-02,6.096420e-02,3.958862e-02,7.040498e-02,0.0351,0.0479,0.1386,0.0236,1.100,1.499,4.341,0.738
seed_s0[standard_t_nsf],908,8.654886e-08,1.886030e-02,6.030589e-02,3.823641e-02,6.902591e-02,0.0341,0.0663,0.0677,0.0545,1.069,2.076,2.119,1.707
seed_s1[standard_t_nsf],908,8.147018e-08,1.941949e-02,6.065054e-02,3.868988e-02,6.834070e-02,0.0462,0.0584,0.0560,0.0391,1.447,1.827,1.754,1.226
seed_s2[standard_t_nsf],908,7.624415e-08,1.867563e-02,5.770448e-02,3.792308e-02,6.764913e-02,0.0329,0.0663,0.0691,0.0322,1.030,2.076,2.165,1.009
seed_s3[standard_t_nsf],908,7.782652e-08,2.027618e-02,6.025297e-02,3.828910e-02,6.953569e-02,0.0440,0.0514,0.0592,0.0440,1.378,1.611,1.852,1.376
seed_s4[standard_t_nsf],908,8.281299e-08,1.948945e-02,5.929356e-02,3.776970e-02,6.824016e-02,0.0284,0.0659,0.0624,0.0557,0.891,2.062,1.953,1.745
seed_s0[raw_t_nsf],908,8.519657e-08,1.901690e-02,5.729212e-02,3.771722e-02,6.738741e-02,0.0395,0.0555,0.0635,0.0378,1.237,1.738,1.987,1.185
seed_s1[raw_t_nsf],908,8.291036e-08,1.943362e-02,5.972181e-02,3.805237e-02,6.942578e-02,0.0289,0.0525,0.0444,0.0283,0.904,1.645,1.390,0.886
seed_s2[raw_t_nsf],908,7.735317e-08,1.865180e-02,5.790499e-02,3.740044e-02,6.784140e-02,0.0298,0.0842,0.1220,0.0488,0.932,2.636,3.819,1.527
seed_s3[raw_t_nsf],908,7.990242e-08,1.893920e-02,5.692656e-02,3.809740e-02,6.699148e-02,0.0248,0.0597,0.0562,0.0484,0.777,1.871,1.759,1.515
seed_s4[raw_t_nsf],908,8.707772e-08,1.942036e-02,5.924060e-02,3.989205e-02,7.091503e-02,0.0269,0.0546,0.0587,0.0436,0.843,1.711,1.836,1.365
