# mode: filtered dlogp10
arm,n_used,GV_4x4,sigma_0,sigma_1,sigma_2,sigma_3,calib_0,calib_1,calib_2,calib_3,calibratio_0,calibratio_1,calibratio_2,calibratio_3
seed_s0[standard_t_gmm],861,3.971279e-05,7.970391e-02,8.816631e-02,1.787525e-01,6.993402e-02,0.0732,0.0937,0.1542,0.1467,2.173,2.781,4.578,4.355
seed_s1[standard_t_gmm],861,1.739388e-04,1.461189e-01,1.542067e-01,1.896261e-01,1.076080e-01,0.1240,0.0593,0.1437,0.1021,3.682,1.762,4.266,3.031
seed_s2[standard_t_gmm],861,1.420743e-04,8.518938e-02,1.213224e-01,2.022673e-01,1.127293e-01,0.0994,0.0668,0.1786,0.0967,2.951,1.983,5.301,2.872
seed_s3[standard_t_gmm],861,6.605151e-05,1.011328e-01,1.155184e-01,1.653287e-01,1.418327e-01,0.0621,0.0677,0.1150,0.0773,1.843,2.009,3.415,2.295
seed_s4[standard_t_gmm],861,2.353170e-04,1.268537e-01,9.053843e-02,1.938723e-01,1.220496e-01,0.1496,0.0705,0.2011,0.0979,4.441,2.093,5.972,2.906
seed_s0[raw_t_gmm],861,4.464587e-05,8.827696e-02,9.251099e-02,1.856290e-01,8.037278e-02,0.0668,0.1236,0.1527,0.1247,1.983,3.670,4.532,3.701
seed_s1[raw_t_gmm],861,1.722756e-04,1.471199e-01,1.599460e-01,1.977288e-01,1.062943e-01,0.1187,0.0952,0.1762,0.0868,3.526,2.826,5.232,2.576
seed_s2[raw_t_gmm],861,1.008475e-04,8.008282e-02,1.196078e-01,2.049223e-01,1.064616e-01,0.1310,0.0696,0.1650,0.0701,3.888,2.067,4.898,2.081
seed_s3[raw_t_gmm],861,6.095224e-05,9.883979e-02,1.193875e-01,1.598613e-01,1.362579e-01,0.1022,0.0826,0.0886,0.0703,3.035,2.451,2.632,2.086
seed_s4[raw_t_gmm],861,2.429761e-04,1.292580e-01,9.428478e-02,2.145623e-01,1.155351e-01,0.1619,0.0945,0.2081,0.0910,4.806,2.807,6.178,2.701
seed_s0[standard_t_nsf],861,1.893026e-05,7.104491e-02,8.022466e-02,1.584263e-01,6.630989e-02,0.0491,0.0731,0.0843,0.1131,1.457,2.170,2.502,3.357
seed_s1[standard_t_nsf],861,9.309863e-05,1.294702e-01,1.457670e-01,1.734278e-01,9.805395e-02,0.0884,0.1026,0.1777,0.0742,2.624,3.045,5.277,2.201
seed_s2[standard_t_nsf],861,8.228902e-05,7.974556e-02,1.144797e-01,1.993351e-01,1.035032e-01,0.1007,0.0597,0.1607,0.0967,2.990,1.771,4.770,2.870
seed_s3[standard_t_nsf],861,2.322058e-05,8.181002e-02,1.086260e-01,1.460885e-01,1.179484e-01,0.0369,0.0565,0.0920,0.0585,1.096,1.678,2.733,1.738
seed_s4[standard_t_nsf],861,1.536532e-04,1.201368e-01,8.586085e-02,1.881724e-01,1.009445e-01,0.1372,0.0906,0.1786,0.0437,4.073,2.689,5.304,1.298
seed_s0[raw_t_nsf],861,2.790395e-05,7.585907e-02,8.069064e-02,1.682085e-01,6.861705e-02,0.0583,0.0700,0.0924,0.1011,1.731,2.079,2.745,3.002
seed_s1[raw_t_nsf],861,1.058156e-04,1.381015e-01,1.535106e-01,1.787284e-01,1.059002e-01,0.1398,0.0838,0.1551,0.0828,4.150,2.487,4.604,2.459
seed_s2[raw_t_nsf],861,8.353821e-05,7.873379e-02,1.187566e-01,1.971819e-01,1.033344e-01,0.0754,0.0651,0.1693,0.0809,2.240,1.932,5.025,2.403
seed_s3[raw_t_nsf],861,2.924878e-05,9.041494e-02,1.120372e-01,1.483962e-01,1.250877e-01,0.0526,0.0565,0.0634,0.0362,1.562,1.678,1.882,1.074
seed_s4[raw_t_nsf],861,1.629616e-04,1.207582e-01,8.573090e-02,1.873178e-01,1.090710e-01,0.1317,0.0862,0.1626,0.1061,3.910,2.560,4.828,3.151
