# mode: filtered dlogp10
arm,n_used,GV_4x4,sigma_0,sigma_1,sigma_2,sigma_3,calib_0,calib_1,calib_2,calib_3
seed_s0[standard_t_nsf],908,8.260896e-10,3.998921e-03,1.130378e-02,1.755977e-02,8.638608e-03,0.0299,0.0196,0.0320,0.0269
seed_s1[standard_t_nsf],908,5.389141e-10,3.980015e-03,7.637966e-03,1.766276e-02,6.205615e-03,0.0381,0.0577,0.0408,0.0670
seed_s2[standard_t_nsf],908,4.048483e-10,3.348134e-03,9.694202e-03,1.259968e-02,7.743997e-03,0.0367,0.0457,0.0414,0.0354
seed_s3[standard_t_nsf],908,5.245828e-10,3.927044e-03,8.890675e-03,1.701388e-02,6.573069e-03,0.0281,0.0491,0.0505,0.0474
seed_s4[standard_t_nsf],908,7.045552e-10,3.818222e-03,1.276319e-02,1.659875e-02,8.769184e-03,0.0263,0.0301,0.0507,0.0282
seed_s0[standard_t_nsf],908,6.449276e-10,4.868438e-03,8.215483e-03,2.365985e-02,6.126538e-03,0.0439,0.0312,0.0494,0.0423
seed_s1[standard_t_nsf],908,7.911995e-10,6.378593e-03,5.797764e-03,3.138632e-02,5.033327e-03,0.0262,0.0290,0.0476,0.0389
seed_s2[standard_t_nsf],908,5.317061e-10,4.223482e-03,7.995335e-03,1.908014e-02,6.259415e-03,0.0638,0.0391,0.0496,0.0247
seed_s3[standard_t_nsf],908,7.975926e-09,2.908906e-02,7.349719e-03,1.862436e-01,5.301572e-03,0.0844,0.0325,0.0823,0.0384
seed_s4[standard_t_nsf],908,6.501931e-09,3.586645e-02,4.790413e-03,2.371114e-01,4.817995e-03,0.1646,0.0459,0.1824,0.0447
seed_s0[standard_t_nsf],908,1.234738e-09,7.078692e-03,1.097307e-02,3.587145e-02,7.553132e-03,0.0507,0.0399,0.0555,0.0238
seed_s1[standard_t_nsf],908,8.863936e-09,3.733511e-02,5.658475e-03,2.380827e-01,5.228488e-03,0.1796,0.0557,0.2072,0.0729
seed_s2[standard_t_nsf],908,1.232204e-09,7.065075e-03,8.319876e-03,3.568686e-02,7.008231e-03,0.0263,0.0436,0.0383,0.0395
seed_s3[standard_t_nsf],908,1.967981e-08,4.433703e-02,1.010009e-02,2.677266e-01,8.275173e-03,0.1701,0.0571,0.2053,0.0739
seed_s4[standard_t_nsf],908,2.196403e-08,4.955112e-02,8.224070e-03,3.078879e-01,6.276875e-03,0.2418,0.0532,0.2546,0.0391
