# mode: filtered dlogp10
arm,n_used,GV_4x4,sigma_0,sigma_1,sigma_2,sigma_3,calib_0,calib_1,calib_2,calib_3,calibratio_0,calibratio_1,calibratio_2,calibratio_3
seed_s0[standard_t_nsf],908,8.260896e-10,3.998921e-03,1.130378e-02,1.755977e-02,8.638608e-03,0.0299,0.0196,0.0320,0.0269,0.936,0.615,1.002,0.843
seed_s1[standard_t_nsf],908,5.389141e-10,3.980015e-03,7.637966e-03,1.766276e-02,6.205615e-03,0.0381,0.0577,0.0408,0.0670,1.194,1.807,1.278,2.098
seed_s2[standard_t_nsf],908,4.048483e-10,3.348134e-03,9.694202e-03,1.259968e-02,7.743997e-03,0.0367,0.0457,0.0414,0.0354,1.148,1.431,1.296,1.107
seed_s3[standard_t_nsf],908,5.245828e-10,3.927044e-03,8.890675e-03,1.701388e-02,6.573069e-03,0.0281,0.0491,0.0505,0.0474,0.879,1.538,1.581,1.485
seed_s4[standard_t_nsf],908,7.045552e-10,3.818222e-03,1.276319e-02,1.659875e-02,8.769184e-03,0.0263,0.0301,0.0507,0.0282,0.822,0.943,1.588,0.882
seed_s0[raw_t_nsf],908,9.665544e-10,4.000588e-03,1.312229e-02,1.717704e-02,1.022111e-02,0.0410,0.0279,0.0300,0.0197,1.285,0.873,0.939,0.617
seed_s1[raw_t_nsf],908,3.420268e-10,3.601196e-03,5.866546e-03,1.568864e-02,5.655472e-03,0.0298,0.0512,0.0533,0.0372,0.932,1.604,1.668,1.164
seed_s2[raw_t_nsf],908,3.931879e-10,3.427839e-03,9.327026e-03,1.265416e-02,7.281439e-03,0.0413,0.0250,0.0306,0.0330,1.294,0.781,0.959,1.032
seed_s3[raw_t_nsf],908,5.451604e-10,4.100770e-03,8.320881e-03,1.703796e-02,6.514335e-03,0.0645,0.0577,0.0542,0.0418,2.019,1.807,1.697,1.310
seed_s4[raw_t_nsf],908,7.286850e-10,3.848965e-03,1.039522e-02,1.585570e-02,7.872837e-03,0.0323,0.0596,0.0397,0.0317,1.012,1.866,1.242,0.993
seed_s0[standard_t_gmm],908,1.637520e-09,5.144914e-03,1.029324e-02,2.526357e-02,8.635998e-03,0.0517,0.0870,0.1271,0.0357,1.618,2.725,3.981,1.116
seed_s1[standard_t_gmm],908,2.601963e-09,7.743476e-03,8.712881e-03,2.326808e-02,1.060171e-02,0.3189,0.1431,0.1497,0.2486,9.985,4.482,4.687,7.784
seed_s2[standard_t_gmm],908,8.180961e-10,4.253384e-03,1.059218e-02,1.522488e-02,8.293710e-03,0.1059,0.0434,0.0865,0.0524,3.315,1.360,2.709,1.640
seed_s3[standard_t_gmm],908,3.845533e-09,6.229393e-03,1.494081e-02,2.280900e-02,1.183464e-02,0.1218,0.1944,0.1463,0.2771,3.814,6.088,4.580,8.677
seed_s4[standard_t_gmm],908,1.196193e-09,4.693971e-03,1.222942e-02,1.917313e-02,1.027774e-02,0.0889,0.1094,0.0790,0.0795,2.784,3.427,2.474,2.488
seed_s0[raw_t_gmm],908,5.547625e-09,6.281201e-03,1.267343e-02,2.682168e-02,1.249246e-02,0.1446,0.0782,0.1457,0.1964,4.527,2.447,4.562,6.150
seed_s1[raw_t_gmm],908,6.344930e-09,1.011670e-02,1.112842e-02,2.906658e-02,1.301570e-02,0.5403,0.1425,0.2335,0.2602,16.916,4.461,7.312,8.148
seed_s2[raw_t_gmm],908,8.733779e-10,4.576484e-03,1.078577e-02,1.421650e-02,8.819221e-03,0.1248,0.0459,0.0653,0.0400,3.908,1.438,2.044,1.253
seed_s3[raw_t_gmm],908,1.289814e-09,5.291121e-03,1.097285e-02,2.303302e-02,8.324689e-03,0.0758,0.0640,0.0621,0.0571,2.374,2.005,1.943,1.786
seed_s4[raw_t_gmm],908,1.151130e-09,4.355543e-03,1.144759e-02,1.822936e-02,9.547267e-03,0.0497,0.0560,0.0604,0.0335,1.556,1.754,1.891,1.048
seed_s0[standard_t_maf],908,2.807840e-09,4.368417e-03,1.112864e-02,1.981294e-02,8.807968e-03,0.0389,0.0961,0.0410,0.0734,1.219,3.008,1.285,2.299
seed_s1[standard_t_maf],908,2.843305e-09,7.214449e-03,7.829683e-03,2.542624e-02,6.716802e-03,0.1784,0.0861,0.1762,0.0469,5.585,2.695,5.516,1.470
seed_s2[standard_t_maf],908,1.220552e-09,4.535937e-03,1.146512e-02,1.426408e-02,8.737036e-03,0.1340,0.0656,0.0733,0.0616,4.195,2.055,2.294,1.930
seed_s3[standard_t_maf],908,1.906695e-09,4.823683e-03,1.053790e-02,1.938087e-02,7.656878e-03,0.0488,0.1122,0.1236,0.1813,1.527,3.513,3.871,5.676
seed_s4[standard_t_maf],908,1.235496e-09,4.310955e-03,1.122091e-02,1.945021e-02,9.390320e-03,0.0674,0.0947,0.0893,0.0633,2.110,2.967,2.796,1.982
seed_s0[raw_t_maf],908,1.186609e-09,4.225864e-03,1.099962e-02,1.947464e-02,8.666999e-03,0.0597,0.0661,0.0541,0.0587,1.871,2.069,1.693,1.839
seed_s1[raw_t_maf],908,9.354569e-10,5.290350e-03,6.231294e-03,1.904446e-02,5.344633e-03,0.0911,0.0496,0.0859,0.0380,2.853,1.552,2.689,1.189
seed_s2[raw_t_maf],908,7.521530e-10,3.976777e-03,1.024246e-02,1.334085e-02,8.237588e-03,0.0746,0.0413,0.0682,0.0368,2.335,1.294,2.135,1.153
seed_s3[raw_t_maf],908,1.220666e-09,4.345091e-03,9.938948e-03,1.884750e-02,7.162314e-03,0.0437,0.0626,0.0322,0.0263,1.369,1.959,1.007,0.822
seed_s4[raw_t_maf],908,1.204040e-09,4.240469e-03,1.062703e-02,1.838773e-02,8.914407e-03,0.0552,0.0637,0.0822,0.0575,1.727,1.996,2.575,1.800
