[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s1 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf =====
  batch 1000/25650 | loss -0.0273 | eta 10.8 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -1.2986 | eta 9.3 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -2.0406 | eta 8.5 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.5214 | eta 8.4 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.9035 | eta 7.6 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.2124 | eta 7.2 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.4680 | eta 7.1 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.6889 | eta 6.8 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -3.8740 | eta 6.4 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.0433 | eta 5.9 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.2042 | eta 5.5 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.3555 | eta 5.0 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.4916 | eta 4.8 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -4.6157 | eta 4.5 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -4.7381 | eta 4.2 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -4.8505 | eta 3.6 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -4.9564 | eta 3.3 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.0565 | eta 3.0 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.1509 | eta 2.6 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.2426 | eta 2.2 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.3306 | eta 1.7 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.4165 | eta 1.4 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -5.4983 | eta 1.0 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -5.5772 | eta 0.6 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -5.6510 | eta 0.2 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -5.6977 | val -6.9112
  saved best (-6.9112) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf
  batch 1000/25650 | loss -7.5719 | eta 11.6 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.5926 | eta 8.9 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -7.6191 | eta 9.6 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -7.6435 | eta 8.6 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -7.6736 | eta 7.8 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -7.7024 | eta 7.6 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -7.7202 | eta 7.9 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -7.7446 | eta 7.1 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -7.7666 | eta 6.6 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -7.7884 | eta 5.9 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -7.8047 | eta 6.7 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -7.8203 | eta 6.2 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -7.8409 | eta 5.0 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -7.8561 | eta 5.2 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -7.8730 | eta 4.5 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -7.8912 | eta 3.8 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -7.9053 | eta 3.3 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -7.9221 | eta 2.9 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -7.9375 | eta 2.8 min [nsf p1 chunk 2/10]
  batch 20000/25650 | loss -7.9531 | eta 2.4 min [nsf p1 chunk 2/10]
  batch 21000/25650 | loss -7.9687 | eta 3.1 min [nsf p1 chunk 2/10]
  batch 22000/25650 | loss -7.9833 | eta 1.7 min [nsf p1 chunk 2/10]
