[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.1817 | eta 6.3 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -0.9647 | eta 5.7 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.7234 | eta 5.4 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.2391 | eta 5.2 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.6753 | eta 4.9 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.0706 | eta 4.7 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.4392 | eta 4.4 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.7652 | eta 4.4 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.0563 | eta 4.0 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.3047 | eta 3.9 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.5298 | eta 3.5 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.7281 | eta 3.3 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.8989 | eta 3.0 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -5.0577 | eta 2.8 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -5.2056 | eta 2.6 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.3411 | eta 2.4 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.4659 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.5799 | eta 1.9 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.6833 | eta 1.6 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.7799 | eta 1.4 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.8707 | eta 1.1 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.9537 | eta 0.9 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -6.0350 | eta 0.6 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -6.1112 | eta 0.4 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -6.1820 | eta 0.2 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -6.2275 | val -6.8864
  saved best (-6.8864) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -7.9773 | eta 6.0 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.9913 | eta 5.8 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -8.0203 | eta 5.5 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -8.0360 | eta 5.3 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -8.0659 | eta 5.1 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -8.0794 | eta 4.8 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -8.0993 | eta 4.5 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -8.1082 | eta 4.2 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -8.1224 | eta 4.3 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -8.1423 | eta 4.1 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -8.1561 | eta 3.6 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -8.1683 | eta 3.6 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -8.1815 | eta 3.1 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -8.1902 | eta 4.9 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -8.2037 | eta 2.6 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -8.2160 | eta 2.4 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -8.2291 | eta 2.1 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -8.2415 | eta 1.8 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -8.2540 | eta 1.6 min [nsf p1 chunk 2/10]
  batch 20000/25650 | loss -8.2647 | eta 1.4 min [nsf p1 chunk 2/10]
  batch 21000/25650 | loss -8.2759 | eta 1.1 min [nsf p1 chunk 2/10]
  batch 22000/25650 | loss -8.2848 | eta 0.9 min [nsf p1 chunk 2/10]
  batch 23000/25650 | loss -8.2959 | eta 0.6 min [nsf p1 chunk 2/10]
  batch 24000/25650 | loss -8.3046 | eta 0.4 min [nsf p1 chunk 2/10]
  batch 25000/25650 | loss -8.3143 | eta 0.2 min [nsf p1 chunk 2/10]
[nsf|p1] chunk 2/10 | train -8.3216 | val -8.1307
  saved best (-8.1307) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -8.6143 | eta 6.1 min [nsf p1 chunk 3/10]
  batch 2000/25650 | loss -8.5867 | eta 5.6 min [nsf p1 chunk 3/10]
  batch 3000/25650 | loss -8.5991 | eta 5.4 min [nsf p1 chunk 3/10]
  batch 4000/25650 | loss -8.6118 | eta 5.2 min [nsf p1 chunk 3/10]
  batch 5000/25650 | loss -8.6122 | eta 5.0 min [nsf p1 chunk 3/10]
  batch 6000/25650 | loss -8.6206 | eta 4.8 min [nsf p1 chunk 3/10]
  batch 7000/25650 | loss -8.6318 | eta 4.5 min [nsf p1 chunk 3/10]
  batch 8000/25650 | loss -8.6306 | eta 4.3 min [nsf p1 chunk 3/10]
  batch 9000/25650 | loss -8.6317 | eta 4.0 min [nsf p1 chunk 3/10]
  batch 10000/25650 | loss -8.6450 | eta 3.7 min [nsf p1 chunk 3/10]
  batch 11000/25650 | loss -8.6497 | eta 3.5 min [nsf p1 chunk 3/10]
  batch 12000/25650 | loss -8.6553 | eta 3.2 min [nsf p1 chunk 3/10]
  batch 13000/25650 | loss -8.6615 | eta 3.0 min [nsf p1 chunk 3/10]
  batch 14000/25650 | loss -8.6680 | eta 2.8 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -8.6727 | eta 2.5 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -8.6791 | eta 2.3 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -8.6848 | eta 2.1 min [nsf p1 chunk 3/10]
  batch 18000/25650 | loss -8.6886 | eta 1.8 min [nsf p1 chunk 3/10]
  batch 19000/25650 | loss -8.6945 | eta 1.6 min [nsf p1 chunk 3/10]
  batch 20000/25650 | loss -8.6989 | eta 1.3 min [nsf p1 chunk 3/10]
  batch 21000/25650 | loss -8.7063 | eta 1.1 min [nsf p1 chunk 3/10]
  batch 22000/25650 | loss -8.7111 | eta 0.9 min [nsf p1 chunk 3/10]
  batch 23000/25650 | loss -8.7173 | eta 0.6 min [nsf p1 chunk 3/10]
  batch 24000/25650 | loss -8.7223 | eta 0.4 min [nsf p1 chunk 3/10]
  batch 25000/25650 | loss -8.7275 | eta 0.2 min [nsf p1 chunk 3/10]
[nsf|p1] chunk 3/10 | train -8.7315 | val -8.2591
  saved best (-8.2591) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -8.8942 | eta 6.1 min [nsf p1 chunk 4/10]
  batch 2000/25650 | loss -8.9044 | eta 5.9 min [nsf p1 chunk 4/10]
  batch 3000/25650 | loss -8.9087 | eta 5.6 min [nsf p1 chunk 4/10]
  batch 4000/25650 | loss -8.9044 | eta 5.4 min [nsf p1 chunk 4/10]
  batch 5000/25650 | loss -8.9167 | eta 5.2 min [nsf p1 chunk 4/10]
  batch 6000/25650 | loss -8.9258 | eta 4.9 min [nsf p1 chunk 4/10]
  batch 7000/25650 | loss -8.9315 | eta 4.5 min [nsf p1 chunk 4/10]
  batch 8000/25650 | loss -8.9350 | eta 4.2 min [nsf p1 chunk 4/10]
  batch 9000/25650 | loss -8.9399 | eta 4.1 min [nsf p1 chunk 4/10]
  batch 10000/25650 | loss -8.9375 | eta 3.8 min [nsf p1 chunk 4/10]
  batch 11000/25650 | loss -8.9427 | eta 3.6 min [nsf p1 chunk 4/10]
