[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s0 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s0/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.1806 | eta 20.0 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -1.2264 | eta 18.8 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -2.0478 | eta 17.7 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.5860 | eta 16.9 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -3.0061 | eta 16.1 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.3441 | eta 15.4 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.6322 | eta 14.6 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.8925 | eta 14.0 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.1293 | eta 13.1 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.3274 | eta 12.3 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.5157 | eta 11.5 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.6769 | eta 10.8 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.8240 | eta 9.9 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -4.9613 | eta 9.2 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -5.0896 | eta 8.4 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.2084 | eta 7.7 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.3172 | eta 6.8 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.4208 | eta 6.0 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.5158 | eta 5.2 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.6065 | eta 4.5 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.6858 | eta 3.6 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.7633 | eta 2.9 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -5.8418 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -5.9118 | eta 1.3 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -5.9790 | eta 0.5 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -6.0218 | val -7.4504
  saved best (-7.4504) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s0/nle/standard_t/nsf
  batch 1000/25650 | loss -7.6389 | eta 19.5 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.7018 | eta 18.5 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -7.7061 | eta 17.5 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -7.7192 | eta 16.8 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -7.7308 | eta 16.1 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -7.7357 | eta 15.2 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -7.7562 | eta 14.6 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -7.7650 | eta 13.7 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -7.7801 | eta 12.9 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -7.8011 | eta 12.2 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -7.8215 | eta 11.4 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -7.8337 | eta 10.6 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -7.8479 | eta 9.9 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -7.8642 | eta 9.0 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -7.8747 | eta 8.3 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -7.8910 | eta 7.5 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -7.9019 | eta 6.7 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -7.9165 | eta 5.9 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -7.9280 | eta 5.2 min [nsf p1 chunk 2/10]
